106,M/s. Anil Neerukonda Hospital  Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Sangivalasa,NA,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
107,M/s. King George Hospital (KGH) Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,8912563345,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
108,M/s. Government Victoria Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,9059522294,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
109,M/s. Indian Red Cross Society Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,9848027203,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
110,M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,9848193503,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
111,M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,NA,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
112,M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,9848199322,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
113, A. S. Raja Voluntary Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,9393963436,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
114,M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"91,77,23,43,07,09,39,30,00,000",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
115,M/s. N.T.R. Memorial Trust Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"09032005619	",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
116,M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,9985556050,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
117,M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,7675808026,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
118,"Indian Red Cross Society Blood Bank, RCH-II",Andhra Pradesh,VIZIANAGARAM,Parvathipuram,9908842182,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
119,District Headquarters Hospital Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,9440070099,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
120,Indian Red Cross Society Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,8142578999,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
121,Srinivasa Nursing Home Blood Bank ,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,9390028861,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
122,Maharaja Institute of Medical Sciences Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,9440043451,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
123,ASN Raju Charitable Trust Blood Bank,Andhra Pradesh,WEST GODAVARI,Bhimavaram,9666001234,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
124,Uddaraju Anandaraju Foundation Blood Bank,Andhra Pradesh,WEST GODAVARI,Bhimavaram,8897888108,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
125,M/s. Government Headquarters Hospital Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,NA,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
126,M/s. Indian Red Cross Society Component Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,9848177142,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
127,M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,"07382626281, 07382626282",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
128,M/s. Good Samaritan Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,9440470715,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
129,M/s. Indian Red Cross Society Blood Bank jangareddi gudem,Andhra Pradesh,WEST GODAVARI,Jangareddygudem,9493009404,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
130,Indian Red Cross Society Blood Bank narasapuram,Andhra Pradesh,WEST GODAVARI,Narasapuram,8179704000,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
131,Palakol Voluntary Blood Bank,Andhra Pradesh,WEST GODAVARI,Palakol,9885144415,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
132,Indian Red Cross Society Blood Bank Tanuku  (Repeated),Andhra Pradesh,WEST GODAVARI,Tanuku,,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
133,Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,Andhra Pradesh,WEST GODAVARI,Tanuku,9959312349,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
134,Sri Buddala Narasimhamurty Voluntary Blood Bank,Andhra Pradesh,WEST GODAVARI,Tanuku,9133111131,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
